order_id	customers	city	state	order_date	total_units	revenue	product_name	category_name	store_name	sales_rep	brand_name
1	Johnathan Velazquez	Pleasanton	CA	01/01/2016	2	1199.98	Electra Townie Original 7D EQ - 2016	Cruisers Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
1	Johnathan Velazquez	Pleasanton	CA	01/01/2016	1	599.99	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
1	Johnathan Velazquez	Pleasanton	CA	01/01/2016	2	3098	Surly Straggler - 2016	Cyclocross Bicycles	Santa Cruz Bikes	Mireya Copeland	Surly
1	Johnathan Velazquez	Pleasanton	CA	01/01/2016	1	2899.99	Trek Fuel EX 8 29 - 2016	Mountain Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
1	Johnathan Velazquez	Pleasanton	CA	01/01/2016	2	3599.98	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
2	Jaqueline Cummings	Huntington Station	NY	01/01/2016	2	1199.98	Electra Townie Original 7D EQ - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
2	Jaqueline Cummings	Huntington Station	NY	01/01/2016	1	599.99	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
3	Joshua Robertson	Patchogue	NY	02/01/2016	1	599.99	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Electra
3	Joshua Robertson	Patchogue	NY	02/01/2016	1	999.99	Surly Wednesday Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Surly
4	Nova Hess	Duarte	CA	03/01/2016	2	1499.98	Ritchey Timberwolf Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Ritchey
5	Arla Ellis	Utica	NY	03/01/2016	1	599.99	Electra Townie Original 7D EQ - 2016	Comfort Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
5	Arla Ellis	Utica	NY	03/01/2016	1	429	Pure Cycles Vine 8-Speed - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Pure Cycles
5	Arla Ellis	Utica	NY	03/01/2016	2	3098	Surly Straggler - 2016	Cyclocross Bicycles	Baldwin Bikes	Marcelene Boyer	Surly
6	Sharyn Hopkins	Baldwinsville	NY	04/01/2016	2	1099.98	Electra Townie Original 21D - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
6	Sharyn Hopkins	Baldwinsville	NY	04/01/2016	1	599.99	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
6	Sharyn Hopkins	Baldwinsville	NY	04/01/2016	1	449	Pure Cycles Western 3-Speed - Women's - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Pure Cycles
6	Sharyn Hopkins	Baldwinsville	NY	04/01/2016	2	1999.98	Surly Wednesday Frameset - 2016	Mountain Bikes	Baldwin Bikes	Marcelene Boyer	Surly
6	Sharyn Hopkins	Baldwinsville	NY	04/01/2016	2	5999.98	Trek Conduit+ - 2016	Electric Bikes	Baldwin Bikes	Marcelene Boyer	Trek
7	Laureen Paul	Bellmore	NY	04/01/2016	1	529.99	Electra Moto 1 - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
7	Laureen Paul	Bellmore	NY	04/01/2016	2	858	Pure Cycles Vine 8-Speed - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Pure Cycles
7	Laureen Paul	Bellmore	NY	04/01/2016	1	999.99	Surly Wednesday Frameset - 2016	Mountain Bikes	Baldwin Bikes	Marcelene Boyer	Surly
8	Leslie Higgins	Saratoga Springs	NY	04/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Children Bicycles	Baldwin Bikes	Venita Daniel	Electra
8	Leslie Higgins	Saratoga Springs	NY	04/01/2016	2	1199.98	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Electra
9	Neil Mccall	San Carlos	CA	05/01/2016	2	7999.98	Trek Slash 8 27.5 - 2016	Mountain Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
10	Alane Munoz	Yonkers	NY	05/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
11	Tarra Guerrero	Auburn	NY	05/01/2016	2	539.98	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Children Bicycles	Baldwin Bikes	Venita Daniel	Electra
11	Tarra Guerrero	Auburn	NY	05/01/2016	2	1199.98	Electra Townie Original 7D EQ - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Electra
11	Tarra Guerrero	Auburn	NY	05/01/2016	1	1799.99	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Trek
12	Marvin Mullins	San Diego	CA	06/01/2016	1	1680.99	Surly Straggler 650b - 2016	Cyclocross Bicycles	Santa Cruz Bikes	Mireya Copeland	Surly
12	Marvin Mullins	San Diego	CA	06/01/2016	2	5799.98	Trek Fuel EX 8 29 - 2016	Mountain Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
13	Patience Clayton	Niagara Falls	NY	08/01/2016	1	269.99	Electra Cruiser 1 (24-Inch) - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
13	Patience Clayton	Niagara Falls	NY	08/01/2016	2	1199.98	Electra Townie Original 7D EQ - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
13	Patience Clayton	Niagara Falls	NY	08/01/2016	2	1199.98	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
13	Patience Clayton	Niagara Falls	NY	08/01/2016	2	858	Pure Cycles Vine 8-Speed - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Pure Cycles
14	Maribel William	Torrance	CA	09/01/2016	1	469.99	Surly Ice Cream Truck Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Surly
15	Ellsworth Michael	Carmel	NY	09/01/2016	2	599.98	Electra Girl's Hawaii 1 (20-inch) - 2015/2016	Children Bicycles	Baldwin Bikes	Venita Daniel	Electra
15	Ellsworth Michael	Carmel	NY	09/01/2016	2	1099.98	Electra Townie Original 21D - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Electra
15	Ellsworth Michael	Carmel	NY	09/01/2016	2	898	Pure Cycles Western 3-Speed - Women's - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Pure Cycles
15	Ellsworth Michael	Carmel	NY	09/01/2016	1	1799.99	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Trek
16	Lea Key	Banning	CA	12/01/2016	1	269.99	Electra Cruiser 1 (24-Inch) - 2016	Children Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
16	Lea Key	Banning	CA	12/01/2016	2	539.98	Electra Cruiser 1 (24-Inch) - 2016	Cruisers Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
16	Lea Key	Banning	CA	12/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Cruisers Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
16	Lea Key	Banning	CA	12/01/2016	1	1799.99	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Trek
17	Sindy Anderson	Pomona	CA	12/01/2016	1	299.99	Electra Girl's Hawaii 1 (20-inch) - 2015/2016	Children Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
17	Sindy Anderson	Pomona	CA	12/01/2016	2	1199.98	Electra Townie Original 7D EQ - Women's - 2016	Cruisers Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
17	Sindy Anderson	Pomona	CA	12/01/2016	1	1320.99	Heller Shagamaw Frame - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Heller
17	Sindy Anderson	Pomona	CA	12/01/2016	1	1799.99	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Trek
18	Lanita Burton	Coachella	CA	14/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Children Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
18	Lanita Burton	Coachella	CA	14/01/2016	2	999.98	Electra Townie Original 7D - 2015/2016	Comfort Bicycles	Santa Cruz Bikes	Genna Serrano	Electra
18	Lanita Burton	Coachella	CA	14/01/2016	2	1499.98	Ritchey Timberwolf Frameset - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Ritchey
18	Lanita Burton	Coachella	CA	14/01/2016	2	5999.98	Trek Conduit+ - 2016	Electric Bikes	Santa Cruz Bikes	Genna Serrano	Trek
18	Lanita Burton	Coachella	CA	14/01/2016	1	3999.99	Trek Slash 8 27.5 - 2016	Mountain Bikes	Santa Cruz Bikes	Genna Serrano	Trek
19	Norine Huffman	Encino	CA	14/01/2016	1	1549	Surly Straggler - 2016	Cyclocross Bicycles	Santa Cruz Bikes	Mireya Copeland	Surly
19	Norine Huffman	Encino	CA	14/01/2016	2	5999.98	Trek Conduit+ - 2016	Electric Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
20	Randee Pitts	Canyon Country	CA	14/01/2016	2	3098	Surly Straggler - 2016	Cyclocross Bicycles	Santa Cruz Bikes	Mireya Copeland	Surly
20	Randee Pitts	Canyon Country	CA	14/01/2016	1	2999.99	Trek Conduit+ - 2016	Electric Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
21	Neoma Daugherty	Mount Vernon	NY	15/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
21	Neoma Daugherty	Mount Vernon	NY	15/01/2016	1	429	Pure Cycles Vine 8-Speed - 2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Pure Cycles
21	Neoma Daugherty	Mount Vernon	NY	15/01/2016	1	1549	Surly Straggler - 2016	Cyclocross Bicycles	Baldwin Bikes	Marcelene Boyer	Surly
22	Tangela Hurley	Campbell	CA	16/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Children Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
22	Tangela Hurley	Campbell	CA	16/01/2016	2	1059.98	Electra Moto 1 - 2016	Cruisers Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
23	Drucilla Gilliam	Santa Clara	CA	16/01/2016	1	269.99	Electra Cruiser 1 (24-Inch) - 2016	Cruisers Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
23	Drucilla Gilliam	Santa Clara	CA	16/01/2016	2	599.98	Electra Girl's Hawaii 1 (20-inch) - 2015/2016	Children Bicycles	Santa Cruz Bikes	Mireya Copeland	Electra
23	Drucilla Gilliam	Santa Clara	CA	16/01/2016	2	5799.98	Trek Fuel EX 8 29 - 2016	Mountain Bikes	Santa Cruz Bikes	Mireya Copeland	Trek
24	Ashton Lott	Floral Park	NY	18/01/2016	2	898	Pure Cycles Western 3-Speed - Women's - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Pure Cycles
24	Ashton Lott	Floral Park	NY	18/01/2016	2	1999.98	Surly Wednesday Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Surly
25	Sam Lester	Baldwin	NY	18/01/2016	1	269.99	Electra Cruiser 1 (24-Inch) - 2016	Children Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
25	Sam Lester	Baldwin	NY	18/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Children Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
25	Sam Lester	Baldwin	NY	18/01/2016	1	269.99	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
25	Sam Lester	Baldwin	NY	18/01/2016	2	599.98	Electra Girl's Hawaii 1 (20-inch) - 2015/2016	Children Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
25	Sam Lester	Baldwin	NY	18/01/2016	2	3098	Surly Straggler - 2016	Cyclocross Bicycles	Baldwin Bikes	Marcelene Boyer	Surly
26	Jackeline Colon	Wappingers Falls	NY	18/01/2016	2	539.98	Electra Cruiser 1 (24-Inch) - 2016	Children Bicycles	Baldwin Bikes	Venita Daniel	Electra
26	Jackeline Colon	Wappingers Falls	NY	18/01/2016	1	549.99	Electra Townie Original 21D - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Electra
26	Jackeline Colon	Wappingers Falls	NY	18/01/2016	1	749.99	Ritchey Timberwolf Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Ritchey
26	Jackeline Colon	Wappingers Falls	NY	18/01/2016	1	3999.99	Trek Slash 8 27.5 - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Trek
27	Pamala Henry	Bronx	NY	19/01/2016	2	1199.98	Electra Townie Original 7D EQ - 2016	Comfort Bicycles	Baldwin Bikes	Venita Daniel	Electra
27	Pamala Henry	Bronx	NY	19/01/2016	1	1320.99	Heller Shagamaw Frame - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Heller
27	Pamala Henry	Bronx	NY	19/01/2016	1	449	Pure Cycles William 3-Speed - 2016	Cruisers Bicycles	Baldwin Bikes	Venita Daniel	Pure Cycles
27	Pamala Henry	Bronx	NY	19/01/2016	1	1799.99	Trek Remedy 29 Carbon Frameset - 2016	Mountain Bikes	Baldwin Bikes	Venita Daniel	Trek
28	Eleni Gordon	Richmond Hill	NY	19/01/2016	2	539.98	Electra Girl's Hawaii 1 (16-inch) - 2015/2016	Cruisers Bicycles	Baldwin Bikes	Marcelene Boyer	Electra
